,content,sentiment
5426,Such a beautiful day. I just wish I had the energy to enjoy it.,happiness
5427,darn it that was supposed to be a haiku but the formatting failed me.,sadness
5428,"  you would think so, Ali! I found Evan's web: http://www.evanprice.co.uk/index.htm but no twitters",neutral
5429,I have to go to work now.,neutral
5430,http://pinkpawsforlife.org/ - pets get cancer too.,worry
5431, hey handsome!  I'm packing,neutral
5432,Really wants to buy new clothes,sadness
5433,i hate not being able to twitterize on my cell phone  oh well,neutral
5434,"&quot;Isn't she lovely? Isn't she beautiful?&quot; Sorry Stevie, you're not really in a position to make that judgement  #steviewonder",worry
5435,Braxton was up at 2:30 untill 4am and now he won't sleep more than 15 minutes at a time! It's hard to be a mom on days like this!,worry
5436,walk was grand peeps lol feet are really hurting now thought  xx,sadness
5437,Sitting @ home sick.... wish this cold wuld go away.... start skool mon!!! yay!!!! not so much,worry
5438,"shopping with  tonight, cant wait!  Lucky bastard  has already finished work  im stuck here forever!",happiness
5439,trying to get into the groove of studying  heeelllppppp meeeeeeee,worry
5440,How could they kill him? Hollyoaks made me sad.,sadness
5441, When they don't pop well. I feel lousier after playing those.,worry
5442,i need to get my life together aka my apartment all cleaned and back how it was before my birthday,sadness
5443, gah i forgot about separate bins. maybe this is a bad idea,neutral
5444,ahh everyone's out today taking in the sunny weather except me  might go and watch some tv...,worry
5446, I'm with ya....  doesn't  follow me either,neutral
5447,??? weekend standby duty??????????????????????????????????????????????????,surprise
5448,getting cds ready for tour,happiness
5449,got back from walking to school gotta go back around one or two that heat almost gave me a stroke,worry
5450,goin to work,neutral
5451,you know you're working to late when you hear about the sun setting via twitter,worry
5452,starting phase 1 of operation &quot;be productive&quot;- pack clothes. can't find pink tank top!! oh no!!!,worry
5453, It's gonna be hot here today too. today is Ryan's last day of pre-k. I can't believe it!  I've been a SAHM since I had him!,love
5454,: Ok its suppose 2b followfriday not unfollow Friday  aw well I have nice tweeters anyway! &lt;-almost doesnt sound right...lol;),relief
5455,presentations finished. Busted ankle after stupido models broke catwalk and I TWICE fell in hole in beautiful bottle green Mary Janes,neutral
5456,- me and my mom's cars were broken into.  I feel violated.,sadness
5457, KILL IT JASMINE! Haven't talked to you for ages.,neutral
5458,"Ok I'm frustrated, there is hella dust between the screens of my blackberry",neutral
5459,My car is in the car hospital for the nxt 7 days  I gotta go pick up a loaner car b4 6! Bein without wheels 4 7day will set me back heavy!,sadness
5460, did you already get your update? I havent yet,worry
5461,  lol y? is it really gross??  i'm HUNGRY and theres nothin to have,worry
5462,Need a nap  but I have to take 4 trains now,neutral
5463, not sure I can make it afterall,worry
5464,"i had my chance and blew it, now i have to suffer the consequences..gnite tweeps",worry
5465,kids out for summer/ pool has been taken over/ no more tanning girls  #haiku #yayschoolisout #sarcasm,worry
5466, oh no!!!  well..... When you get back lots of pictures!!!,sadness
5467,My sister got a lunch date and I don't,worry
5468, bugger didn't know that  shame people have to stick there nose in!,hate
5469," Alas, we can't broadcast the lunches as we have no bandwidth in those rooms",sadness
5470,I HATE FLORISTS  No rose for cassadee tomorrow now =/ fricken fag florist people ={ hmm..need something else...hmm...,hate
5471,Sitting at my desk wishing things were different,worry
5472,is wondering why no one else is following it....  C'mon people!,worry
5473,,neutral
5474, so sad i have to pay $60,worry
5475, *hugs* me too.,love
5476,Not feeling comfortable with myself today,worry
5477, you looked great for being sick yesterday! i'm sorry I didn't really make an effort to say hi...  I was preoccupied for a while,worry
5478,I SO should've gone right now!!! *wish I could alter time!!  *,sadness
5479, she said no,neutral
5480, cause i wasn't there!,relief
5481,"i forgot to put my work clothes in the dryer  also, i love my new slippers!",love
5482,I HAVE A HEADACHE,worry
5483,"So I cannot find my poetry book. It wasn't at my dad's and I'm about to tear up my room looking for it. It I don't, I'm gonna be sad",happiness
5484," Me Too! Its hard to argue w/ him 'cause he makes some great points, i just can't wrap my heart around that one",happiness
5485,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,sadness
5486,Chatted with my old schoolmates. Awww  I miss my Highschool.,happiness
5487,  OOh but you soon get to meet the dung mice!!,sadness
5488,is sooo confused these days   But glad to be back from Lillestrï¿½m,worry
5489,"Of all things good and awesome about shooting destination weddings, I'll miss my baby girl for few days.   #fb",worry
5490,is watching the final episode of E.R  Goon SuBo 2 win Britians Got Talent,neutral
5491, What? I was being serious.,surprise
5492,"Awh, its the last day of the tour  I'll miss hangin w/ and Children 18:3. Soooo...let's make it an awesome nite in OK!!",sadness
5493,http://pic.im/4d8   Horten moss kï¿½,neutral
5494,"I've been killing ants today ( put workers to alcohol for genetic analysis). I feel kind of bad for that... Its necessary, but not nice",neutral
5495,WALES HERE I AM! 1st 2 weeks away in wales. but idk if the guys at school really like me...,happiness
5496," they are gone after I restarted TwetDeck  , and I wanted to follow  the peeps that I got posted frommy friends :/",sadness
5497,"Energy steadily increasing, thankfully, but the cough isn't going away.",surprise
5498, Gutted you won't be on live office girls anymore,sadness
5499," hahah yeah, i had the same problem. Tomorrow there is a bday dinner for Terry at 7:30 so i don't think we'll see the fight",worry
5500, That's always fun to clean up,fun
5501,starting to pack stuff up,neutral
5502,"my car is in at the garage &amp; is not coming out anytime soon! last time I heard the gearbox was the problem, still waiting for the quote.",worry
5503,Taking my brother to the airport  Then gym.,sadness
5504, I want to SOOOOOOO BAD!!!,enthusiasm
5505, you don't wanna see me while you're here?,sadness
5506,eating lunch. then school,neutral
5507,"On hold with unemployment, hoping to get call completed before I need to get daughter from school! Not looking good",worry
5508, I'll hopefully get a chance to play it tomorrow. Hope it's good otherwise I've wasted so many points,neutral
5509,"Iï¿½m Back, sorry, lot a work  news?",worry
5512, not impressed....! it might go away if you complain too much!  x,hate
5513,ok nevermind. photo was set to private. sorry.,worry
5514,just got home from school and from the wake of my friend's father.  so tired..,sadness
5515,"is off to get her hair cut in the morning, and is not looking forward to spending a weekend alone",sadness
5516,Life can get soo Dull sometimes what do you do when u have no 1 around  x,sadness
5517, i think i am going to do lennys.. i dont know! ahh! lol i hate making decsions!,worry
5518,i hate my new section this school year.. huhu..,hate
5519, im back on twitter.,neutral
5520, lmaoo me too  &amp; omg thank you 8-| he does need to act his damn age. I'd be ashamed if he was my damn grandpa 8-|.,neutral
5521," well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh",happiness
5522, u never told me abt ur date ... who is the lucky guy im so out of the loop,surprise
5523,I'm too busy at work today...it is interferring with socializing,sadness
5524,  *waves to make it all OK again*,happiness
5525,TGIF! What a morning! It's been non-stop &amp; I need coffee. Stayed up late last night trying to get todays work done. Didn't work,worry
5526," juice! I miss juice, any fruit",surprise
5527,"Broke Up with girlfriend, FEELING Very lonely and heartbroken  Sad times guys (N)",sadness
5528," I totally agree. I just don't like it when everybody closes the windows in buses, trains etc. I'm afraid of getting diseases there",worry
5529," haha, I actually have it here but it won't hook up to the internet!",neutral
5530, Yeaa i'm so sad i've watched her live performances in Peru etc and they are EPIC!   I wish she'd just come to N.I! lol xo,sadness
5531,the mall i once worked at has turned into a very depressing place,sadness
5532,Stupid kubuntu keeps on freezing on me. I thought linux never freezes,hate
5533,    What To Say?,worry
5534,"'s going to Disney World, lucky bitch.",hate
5535,I've got no idea how to reach the birthday brunch location.. Roads around west Jkt? Clueless,neutral
5536, oh Nancy - so sorry for your loss  &amp; wishing you the best!,worry
5537,Slept at my parents the bed was hard as a rock now my back feels like a rock,worry
5538,Still at work.,neutral
5539,..exams.  haha just remembrd the china buffet king yesterday. vair amusing ....,happiness
5540,() oh snap,sadness
5541, I could have bought a Vespa with the amount of money I just spent,worry
5542,  lol.. zzzzy in office and I'm alone in my bay again.,sadness
5543,industrial tommorow! oh yeah &amp; I get to go see a bunch of old people go away forever &amp; I will probably cry all over the place.,worry
5544,I always feel like I'm betraying her trust in me when I drop the pup off at the groomer.,worry
5545, Is it true that you love brazil more than australia  nitey,surprise
5546,http://twitpic.com/66q88 - So....I don't have a PE  but I do have a Pocket Artoo!,sadness
5547,it's raining..,sadness
5548,thinkin &amp; tryin 2 figure out lifes tricks,worry
5549,omg i was so nervous last block. i had my speech and i almost puked. it was horrible.... i bet i got a bad grade on it....,worry
5550,"thought id tanned after an hour in the sun, i was wrong....i've just burnt",neutral
5551,heading down to beach! still no fone....woo!,surprise
5552,  I was SUPPOSED to be coming...life got in the way lol give my friends a wild time!!!,sadness
5553,I want Guitar Hero:World Tour SOO bad.,worry
5554,I am sooooooo bored in textiles !,boredom
5555,Managed to find a bottle of Pimm's! If only we had the weather to go with it,happiness
5556,just realized i gained 40 pounds in the last year  http://bit.ly/wCr3a,worry
5557,"TGIF I don't like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY",hate
5558,On a flight home  after an awesome trip with my cousin! Miss you sophia,relief
5559, it's saying that it is the wrong link-it cannot find the address.,neutral
5560,I'm really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,worry
5561, yeah sucks eh!,hate
5562, I would be there... But I live across the country,worry
5563,"so hot in the office as air con been broken for weeks, fans on all round office but they just push hot air around really and not helping",worry
5564," cool, not a big user of DM though",sadness
5565, I'm still waiting for them to recontinue their &quot;breathless&quot; scent..  lol,love
5566,wait a sec. there are only 8 more days left of hotdogging?  ....i did not sign up for this...,worry
5567,I really despair over the whole copyright situation http://bit.ly/yLY0I ~ being visually impaired means you don't deserve to read  #sccr18,sadness
5568,"gettn ready to take a trip to Jersey my dad's not doing so good, he needs a new heart~whoeva see's this please say a prayer for my dad",worry
5569,ive got a headache now,worry
5570,Today seems like it should be a good day! Even though my fuel pump is going out on my car  *~xoxo~*,worry
5571,"i didn't wake up early enough to go roller blading  contrary to a tributary, i flow endlessly",worry
5572,Moving in the rain is not fun. Last day in the Hamptons,boredom
5573," Michelle, I slept for 11 hours last night. I'm still stick with this fever.",hate
5574,I don't like waiting,sadness
5575, ya I heard 7 was a giant leap in the right direction. This is a work comp though  Ill enquire!,neutral
5576,"Not feeling too good at ALL, about to head to work from 12-5.  Not a bad shift, just not fun when you don't feel well! Hope it goes FAST",worry
5577,  got my hair rebonded at some korean place. dude! my hair is f'in fried! cut 5&quot; already ... now just chopping it off!!!,surprise
5578,  I wish I knew..  Trying to figure something out here too,worry
5579,I think I'm running a fever and not feeling so well!,worry
5580,I'm extremely hungry.... and the only thing I have in my house is Soup...  I don't like soup... *pouts*,worry
5581,Mouth hurts,worry
5582,Looking for accessories for my #livescribe smartpen.. not many sources here in germany for it.,neutral
5583,: have fun focus grouping! i have no participants as of yet..,worry
5584,"Now that Hugh Laurie has mentioned he follows  on twitter, thousands of idiots think this () is him. IDIOTS!",love
5585, I'm lookin @ the news and its not gonna b warm enough for the beach,worry
5586,tryin not to fall asleep at work...,sadness
5587,". I missed your party...you must forgive me pleassse, i feel bad..",worry
5588,My wife lost her sprint blackberry 8330 on a bike ride in AM.  Anyone have an extra BB laying around? retweet,sadness
5589, I need to do some more post but I don't have time on this tour  ........... Apologies to all my supporters.,sadness
5590,Its payday! Yay! For all the good it does. Bills bills bills....I'm broke again already,worry
5591, can't! need to work on overtime project at lunchtime.    Sorry!,sadness
5592,So tired. Work today.,worry
5593,"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours",worry
5594,i have high cholesterol,worry
5595," I agree, 'Paparazzi' waz an amazing vid, I luved it, but felt bad cuz it waz leaked &amp; I watched it",happiness
5596,Whoop! I got a prom date today! Who knew? Ha-ha! But I can't tell you who.,happiness
5597,Headed to verizon. Praying that pinkberry is going to make it.,worry
5598,Back to the salt mine for my one day work week. So much to do.,worry
5599,ive very picky about what i put in my mouth. i hate onions. they make me cry  ),hate
5600,"I have to pee (fucking coffee)  sooo long until break time. 77 more letters...what to write, what to write..oh, used them all up.",worry
5601,LOL! That bank told me the time.,worry
5602, me 2,worry
5603,Gonna go and see my sister at Mount Saini ....  she's there for at least another 24 hours.,neutral
5604,"So now, I have conjunctivitis in my left eye. Is this a sign of something? What did I do wrong to deserve this?LOL I'm dying people!",sadness
5605, I'm not going till Wednesday,neutral
5606,is very disappointed that cadbury chocolate blocks got smaller,sadness
5607, I want to come over,worry
5608,I'm nauseous  I need a yogurt or something..,worry
5609,Hicks are mean!,sadness
5610, omgg hhaha nooo! drag me to hell is EVVIIIL! and angels and demons supposedly sucked   ohh no haha,neutral
5611,I miss my baby,sadness
5612, YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?,happiness
5613, My camera is brokennn,sadness
5614,Omg Cliff Richard songs in my mind? Just why  lol,neutral
5615,I now know more than I ever wanted to know about the extinction of frogs,worry
5616, I've given the $19.99 question more thought. U may be right. One host provides HD quality to all viewers? Maybe not.,neutral
5617, I didn't even get a chance to shop @ Aldi!,sadness
5618, Come online! I need someone to talk to,sadness
5619, Thanks I decided to just give up on my old HQ and go with this account. Scoundrels won,sadness
5620,I wanna leave after 2nd period *cryy*,worry
5621,Really nice outside...I'm stuck at work,worry
5622,Gardening stuff I ordered got returned to sender because it was damage  need to work out how to get to a garden centre.,worry
5623,i have a fever,neutral
5624, Since the demise of Woolworths it isn't easy to find reasonably priced pick n mix anywhere,worry
5625,in about half a hour i'm going to my english lesson...guess i'll have to wait...and wait for a couple hours so i'm over with it.(( :S   )),hate
5626,thinks lamb chops would be really nice right about now... or maybe some sushi  mmm.. maybe just an ice lolly cos its so damn hot!!!,worry
5627,My back is killing me. Stupid softball,sadness
5628,  nope   i really want to play it aswell,neutral
5629, It won't EVER happen again...I feel like I let my team down,worry
5630,tired and all i want to do is play random songs on my gitwar but i have to do my drama essay.,happiness
5631,Still in same queue barely 1 metre from where i last twittered. This is insane. And i paid for this,neutral
5632," I have no text plan on my phone.    I'll send the #, though, you're more than welcome to call!",fun
5633," -dont know if u herd but queensland is havin it bad they have floods and in this weather, i want to help but i cant",worry
5634,"Again, I'm stuck in traffic jams ... Somewhat starting to be the same situation every day. That's sad, really",sadness
5635,Irony: Inventor of Ford Mustang can't keep his car   http://tinyurl.com/lpmvtk via :,sadness
5636, Sorry to hear.,worry
5637,Cant fall asleep.,surprise
5638,Fallen in love with enter shikari again. Might go for a walk with the lady later.  now though,love
5639,This class is really long and I'm really getting hungry,hate
5641,Was meant to go play cricket but can't get a lift so I'm now stuck at home watching the Apprentice on a lovely day  http://ff.im/-3niD8,worry
5642, I wish we could make a quick trip to LA in July  I miss LA,sadness
5643,  Don't wanna miss ANY of your shows...you guys kick it! Sad to say...my plane is in the shop...,sadness
5644,My car died this morning.  On top of everything that happened yesterday.  Whoever put the hex on me please let me know what I did wrong?,worry
5645,Conference call arranged for 4.30pm today just blew my leaving early out the window,sadness
5646, My dad had to bury ours six weeks ago. She became his after I left for college fourteen years ago. Long time to have a kitty.,worry
5647,Gonna go and see my sister at Mount Sinai ....  she's there for at least another 24 hours.,worry
5648, bored in class. I wanna go home.,sadness
5649, What?! He chose one of them? Nooo... Betty was supposed to get him in the end.,surprise
5650, it must've been Miami cause I haven't been able to drive my car since we got back...it needed an oil pump,neutral
5652,"Well, my dog still isn't at the shelter. I hope someone good has him",worry
5653, not working here,neutral
5654, are you still angry with me?,worry
5655, I am lost. Please help me find a good home.,worry
5656,just waking up...ahh i have a headache,surprise
5657,the plan to not spend money is not going well,worry
5658," it's annoying bc my hair products don't have perfume, but smell like the ingredients in them",surprise
5659, ...snuggles you back......everyones telling me to get over it ...but ive had her 15 years  x,sadness
5660, We're running out of things to tweet to you.  Wish we could get your reply! Come to the Philippines?  TWEEET!,worry
5661,Why do you hurt me? Does it bring you joy to see me cry? You know I love you more then anything and yet u break my heart everyday!,sadness
5662,"My feet are killing, I've walked miles in search of an art shop...doesn't seem like Ealing has one",sadness
5663,RIP to officer Edwards. May GOD continue to bless his family. What's up wit cops killing cops. Seen the same thing happen on &quot;The WIRE&quot;.,sadness
5664,BREAKING NEWS: GM shares are currently trading below $1.00 at only $.88 per share!!,surprise
5665,Had a blood test today.   Wasn't too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte &amp; a bun.Yum!,relief
5666,My bum hurts.,neutral
5667,my sensors don't seem to want to last for more than 3 1/2 days,neutral
5668, hey hey..i'm only finishing on the 10th of june,happiness
5669," first of all i love your picture, PICTURE whore. &amp; the boyfriend???  JACKIE. FML. WHY HAVEN'T YOU EMBRACED THE PHONE &amp;",worry
5670,really wanted to go to that gig tonight,fun
5671,I want to see Drag Me to Hell. But I get the feeling none of my friends will go w/ me,sadness
5672,i hope my morning show doesn't get cancelled!,neutral
5673,i feel like crap right now and i have one more month of school left  FML HARD,worry
5674,GIVE A HATER A Hug ? Why would you do that? I don't like mwean people,hate
5675,Doesn't think  will be following me....,surprise
5676,Dangling belly rings are a bad investment...the cutest ones ALWAYS pop,worry
5677, What time you close today? Is it the last day today or tmr? I may shed a tear,worry
5678,  Sorry to read about your layoff.  I'll keep you in my thoughts.,worry
5679, I am soooo disapoointed I couldn't make it  I will be there next time! Glad it was productive.,sadness
5680, the there's confuse me,worry
5681, http://twitpic.com/66l83 - I really miss her.,worry
5682,"nvm, i'll stop. whatever. see you 5th i guess",neutral
5683, i guess it's easier said than done for some people.....myself being one of them unfortunately,neutral
5684,would rather be with the bride doing last minute wedding stuff instead of being stuck behind a desk until 5.  Someday...,worry
5685,Sometimes it hurts that pets cant talk back to us. What if they are in pain. How would they tell us.,worry
5686,  What's wrong with her?,worry
5687,why does zero have to have thomas in it?,sadness
5688, It wouldn't let me download it cos it said I'm the UK. I had a little cry.,sadness
5689,i got hurt helping my grandad cut the hedge.  &amp; i swear i have spiders all over me D: erugh xx,worry
5690,Ahhh I'm engulfed in shooooes. Who told me to buy so maany damn shoes,sadness
5691,Fall out boy are in my year book. but only ,fun
5692,I sunburnt through factor 30,surprise
5693,my apple-mouse doesn't work on my shiny red coffee table...,worry
5694, it's not working here,hate
5695,Learned a lesson the hard way. Lost my USB stick and backup was a month old,worry
5696," alas no, it's just a normal night  monday is quiz night",neutral
5697, yeah it can be tough some times..,sadness
5698, sorry bout your cat !,neutral
5699,it's almost june and i'm bundled up because of this nasty ass weather! i just want to lay in the sun on the patio near the roses,worry
5700, wow thats impressive! luckily im not in rush but i feel for friends who aren't getting any younger but cant move house  tricky,worry
5701,I finished  's Zombie Chronicles a few days ago. It was bittersweet. Now I need something new for the gym,happiness
5702," My eyes are starting to hurt. So late. But must reach 200 updates due to tweets sent to youuuu! Philippines tour, pleeease?",worry
5703,MY CAR IS ALMOST DEFINATELY GOING TO BE WRITTEN OFF! THE GARAGE RANG AND SAID THE WORK WILL COST 3K AND ITS UP TO THE INSURANCE CO,worry
5704,Another day in jury duty.,sadness
5705," i'm still awake, coulnd't go back to sleep",worry
5706,   XDXDXD you crazy little thing why didnï¿½t you get off the train and hug me????,surprise
5707,"Sitting at work, waiting for this day to be over with. It is always Fridays that take forever. Wish the weekend would get here already.",worry
5708," My first thought too, I've never even watched Dragonball",neutral
5709," hey you, honey bear! Don't goooooooo  puhleeezeee..",worry
5710, I do that all the time,neutral
5711,I am sooo tired,neutral
5712," Awww. Don't mean to sound like an overgrown age 37 baby, but I'm still stick. Not as bad as yesterday, but still bad.",happiness
5713, because the one I was having at that moment woke me up.,enthusiasm
5714, yeah I guess so  it makes me very sad though becase the disc is scratched!,worry
5715,got woken up early AGAIN  I kinda wana just chill today but there's so much to do!,worry
5716,Stupid MSN It wont let me onnnn,hate
5717,"so disappointed with human kind   &quot;What's wrong with the world?&quot;  I have five girls in the garden, innocently enjoying the good weather...",hate
5718,has toothache,worry
5719,Working  god I hate it haha,hate
5720,Feeling sick at stomach today,worry
5721,is very upset to see carys and donna go today    miss you both hugely already!!! (Yes ok its only been like 3 hours) haaa..waaaah,sadness
5722,I woke up this morning thinking it is Saturday,worry
5723, I want to play,surprise
5724,in park slope brooklyn working the bust photoshoot. this is so exciting! &amp;no more fever! but my tonsils are the size of golfballs,happiness
5725, LOL well these girls didnt!!! And my girl made me tip the lady and she put her boobies in my face,worry
5726,i am Marina and i sware to God i'll never again end up studying French till 2 o'clock at night EVER AGAIN...too much drama...sooo sleepy,worry
5727,"  I'm sorry.....deep breaths, I started a program called panicaway...it has worked wonders.",surprise
5728,  sad face.,worry
5729,5 hours to go and no football again for me,worry
5730,i need some serious cheering up,worry
5731,"Not feeling it 2day, just left the glasses on  peace and unity.",love
5732, Ooo you is back!  Good time? and argh! It hurtssssssssssssssssssssssssssssssssss!  Xx Hate headaches!,hate
5733,is sitting at home wishing that i didnt have to work today. ask for it off and still have to work,sadness
5734,: Thanks for the follow! Wish I were out of my 9-5!   plan to open a shoppe in TC when the economy turns.,happiness
5735,My mind automatically wakes up at 7. Huge fail -- it's SUMMER!  Good morning nonetheless. Gonna get ready for work now.,neutral
5736,"I was so close into entering Pogue 's book today &quot; World according to twitter&quot; , yet now I seem so far.!!!!!!!!!!!!",sadness
5737,Venus is out at the French Open,neutral
5738,On the road again. I miss my traveling traveling partner,sadness
5739," very excited, although her train is going to be delayed",worry
5740,sad day*Lakers please make me happy with a W,worry
5741,"No school, again. This time cuz im sick.",worry
5742,  Nice start to the holiday!,relief
5743, No sucky,neutral
5744,I need a bigger mp3 player... even if it pains me to say it,worry
5745, Aaaaw no!  Are the windows open and that?,worry
5746,honestly i cannot figure this twitter thing out,neutral
5747,No one talk to me anymore on here,relief
5748,i wish i could go to meet in the middle tomorrow.,sadness
5749, I finally figured it out! I felt bad canc. group but  just wanted to take meds and do nothing. Back still hurts  .,worry
5750,I've been up late this week watching Jay Leno. Tonight is his last show  But now he'll move up to 10pm not sure if the material will bsame,neutral
5751,Is getting ready for work... Working all weekend,neutral
5752,is super stressed!,worry
5753,Experimenting.  With puppet again. I think I just wiped my drive on my workstation,neutral
5754,is sad to go to work cuz it's TermiNeda's last day...and little monkey's last day too,worry
5755, Everything,neutral
5756,TGIF!! Its a GORGEOUS day in Reno today. And I'm stuck inside.,happiness
5757, well what about tomorrow? I miss you,neutral
5758,Rickroll'd by iTunes on shuffle,worry
5759,fuck you ipod for freezing when i need you most,hate
5760, thanks lady.... bummer for sure.,happiness
5761,now there's a fly in my room,surprise
5762,My student just walked in balling.  She just witnessed her dog getting hit on the street.  I don't know what to do to cheer her up.,worry
5763, my feelings are hurt,sadness
5764,: How was the HN meetup? I thought about going but decided to bail at the last second,neutral
5765," awww how cuuute, mine follows me when i showers and peeï¿½s and wherever i go but refuses to lay still in the bed",neutral
5766,missing him so much. why does he have to work  can't he just spend time with me and get paid for that lol,worry
5767,Oh man....my fiance just got off work and I start mine in 1 hour....so not fair.....,sadness
5768,"waiting for minami, then london and cobra. i'm going to miss her loads",worry
5769,i just want my car back.,worry
5770, Forgot about the traffic  Heading to Foxford in Mayo and the lovely Pontoon tomorrow,worry
5771,"Woke up.. Walked out of my room, and a bug flew in my eye",worry
5772,And I wanted us to leave at 12:45 to do a 1 p.m. showing (staff retreat mini),worry
5773,at work  then back to my baby's house,enthusiasm
5774, yes 7.50 here thanks for the change obama. I have to start mail ordering again,neutral
5775,Turned my alarm off this morning because I thought it was Saturday. Had to rush to get ready for work because its def not Saturday   #FAIL,worry
5776, me too i hate revision,hate
5777, I wish I was in va too,sadness
5778, i was watchin tv yesterday and the media is on u. u were number five i think for worst beach bodies because of ur butt,neutral
5779,My puppys not feeling so good today,worry
5780,Has anyone else woken up one day and felt like they acquired near sightedness over night?  Everything is blurry all of a sudden.,worry
5781,Geoff posted a boo: Coming Home From Tenerife Boo  http://boo.fm/b25651,neutral
5782,Geoff posted a boo: Coming Home From Tenerife Boo  http://boo.fm/b25651,surprise
5783,"   Awww, that wasn't very nice.",sadness
5784, I didn't read the details so that may be it. Sara Jayne is a kid's show so it can't be that exciting.,neutral
5785,"I also want it to be the 6th, i miss my girlies so much   WE GET TO BE ROOMIES AGAIN!",neutral
5786,How can you guys lived in a city (paris)where u spend you entire life in the trafficjam...grrrr ...m' not used to it anymore,neutral
5787,Now to go home and cry,neutral
5788,Frank from UPS' last day today...  sad to see him go   best delivery guy EVER!  Hope the new guy is NOT a fucktard...,sadness
5789,Dont worry babe,relief
5790, I don't think I'll ever have one of those again,sadness
5791,im not going to my dads tonight !!!!! and hes got a 12 foot pool  he has to tell me that hes got things when im not going TWAT !!,surprise
5792," YES!! I made the sign when i noticed it missing on Sunday! So far, no luck... It's now Unlucky Japanese Cat...",worry
5793,  o2 - train from Bristol to London. It's terrible - and no wifi,hate
5794,that just sucks!,worry
5795, there is no sun here in florida..it's all rainy and cloudy.,sadness
5796,its so sad when the dad dies  hakuna matana it means no worries for...,sadness
5797,is it normal for a masseusse to fully massage your buttocks? I swear she was a quarter inch from a medical exam..,worry
5798, the lens was 70mm  I couldn't,worry
5799,Got an appt. w/ the doctor at 4pm today to look at these &quot;bites&quot;. Hoping it isn't an infection. I need more powerful anti-itch cream.,worry
5800,"Visit 2  La Ventana de los Cielos foundation was pushed bck 2 weeks,  was so excited 2 go &amp; meet the kids. I'll have 2 wait another 2 wks",enthusiasm
5801,Picking up a couple toys tonight! D300 and 50mm f/1.4! YAY!! :-D Just for the weekend though,fun
5802,Didn't sleep good last night. Woke up with another bellyache  what's wrong with meeeeeee.,worry
5803," haha I was JUST talking about that to my colleague. I have 539 DMs, only 15 - 20 are actual messages and not spam",fun
5804, Surely you knew this before hand? A good book or a hand held has to be essential. Just no PSPs unless you have a charger.,love
5805,More BBQs  Might buy some disposable ones some time.,neutral
5807, http://twitpic.com/6695k - Awwww poor boys! *cries* So sad..,sadness
5808, Yep...sadly I only had 10 min before a meeting!,sadness
5809, Yes! Haha and then when he impaled himself with the crossed keys!  Love Scottish-trying-to-be-Irish Ewan McGregor,relief
5810,Off to work,relief
5811,"Final thought for the day, does deodorant really make your lungs bleed when inhaled constantly? Certain females paranoid about BO",surprise
5812,is thinking WOW I survived Freshman year...Mission Accomplished...Now Sophomore year,relief
5813,"Ouch, my back. Man I'm sick",worry
5814,No theatre next year  stupid schedules!,worry
5815, I am lost. Please help me find a good home.,worry
5816, no news on the kid. They can't find the parent!,hate
5817,"is in class, trying to listen but I really like twitter, facebook, .&amp; myspace  oh yeaaah .&amp; I'm hungry!",happiness
5818,hmmmmï¿½being home isn't *all* great  http://u.nu/8m68,neutral
5819,"So, I'm at the point now that it has become apparent that having a degree means jack shit.",neutral
5821,My shirt is a fuzz magnet today and I feel totally uncomfortable,worry
5822,Trying my best not to share this lovely head cold,neutral
5823,Art History Quiz...  I didn't study,worry
5824,"i've locked up a mac once or twice in my time. ok, literally once or twice.",neutral
5825,"  I gave up cable in these tough economic times.  it was either cable or shoes, and you know what cable lost",worry
5826, Dang... that IS disappointing,sadness
5827,"Wicked, my DVB-S tuner card has arrived. Although not sure I'll be able to get it all set up ready for the FA Cup final tomorrow",happiness
5828,stupid HIP!! I hate you!! And I can't even break in my new kicks!!!  GRRRR!,hate
5829,"TGIF.,..i wish that saying applied to me, but i work Saturdays",sadness
5830, getting there sat afternoon I think. No costume yet  womp wompppppp,worry
5831,sad assembly  next block,neutral
5832,10-Year-Old Girl Battles Rare Breast Cancer  http://bit.ly/JPe9c,neutral
5833, Wish I was in Dallas.. Can I still say ow!? lol Hey... u spelled my name wrong  It's all good. Thanks for #FF love,enthusiasm
5834, Unfortunately I didn't see any of that spreading of poo,worry
5835,off to work now,neutral
5836,"Woo, Hulu Desktop! My poor Mac is kinda struggling with it though, poor little Core Duo just can't keep up",worry
5837,why are matters of the heart so complicated?,worry
5838,My son had surgery yesterday so mommy and son time won't be as long today,relief
5839,"Words can barely describe how shitty I feel this morning. Work, then driving to Madison to play Discotech. Driving alone",worry
5840, Do you think the bead crumb navigation will return to the new Fusion studios? I really miss that at the top of each item.,neutral
5841,damn i miss my bf,sadness
5842,I did many things but missed tweeting,neutral
5843, no I was too slow  I hate getting the trailhead then not getting in.,hate
